Baseline,Correlated,MIC
银行_denoised,电子_denoised,0.3877103577019335
家用电器_denoised,汽车_denoised,0.38729315198631686
综合_denoised,钢铁_denoised,0.38677348785560006
公用事业_denoised,非银金融_denoised,0.38656723392901826
环保_denoised,农林牧渔_denoised,0.38473906011006487
石油石化_denoised,房地产_denoised,0.3839668515362158
电力设备_denoised,非银金融_denoised,0.38300934817253485
机械设备_denoised,传媒_denoised,0.3829272692058406
银行_denoised,医药生物_denoised,0.38135163480164613
建筑材料_denoised,房地产_denoised,0.3808898547465533
环保_denoised,钢铁_denoised,0.3807778633501489
银行_denoised,农林牧渔_denoised,0.38067930985022014
建筑装饰_denoised,医药生物_denoised,0.3806050853642844
通信_denoised,钢铁_denoised,0.38018034903633874
农林牧渔_denoised,非银金融_denoised,0.38017953692427603
综合_denoised,非银金融_denoised,0.37897104144271876
交通运输_denoised,非银金融_denoised,0.37801709481827483
银行_denoised,交通运输_denoised,0.37574179578338435
计算机_denoised,非银金融_denoised,0.37523587593054886
医药生物_denoised,非银金融_denoised,0.37508543663344707
计算机_denoised,纺织服饰_denoised,0.37400693855168526
建筑装饰_denoised,农林牧渔_denoised,0.37285261550911786
汽车_denoised,钢铁_denoised,0.37250652621966196
煤炭_denoised,非银金融_denoised,0.37225338909695743
美容护理_denoised,非银金融_denoised,0.3721399265333736
有色金属_denoised,农林牧渔_denoised,0.37210994229975886
建筑材料_denoised,综合_denoised,0.3720621533978076
家用电器_denoised,钢铁_denoised,0.3715322490347544
计算机_denoised,银行_denoised,0.3707142249118238
煤炭_denoised,医药生物_denoised,0.3700963775628378
银行_denoised,钢铁_denoised,0.3698004108192099
建筑材料_denoised,钢铁_denoised,0.36969503555812
石油石化_denoised,建筑装饰_denoised,0.3688254170107469
通信_denoised,建筑材料_denoised,0.36857895546789354
家用电器_denoised,有色金属_denoised,0.36824684710162464
传媒_denoised,非银金融_denoised,0.3682259596640802
环保_denoised,建筑材料_denoised,0.3674985793139168
国防军工_denoised,电子_denoised,0.36585059198543923
机械设备_denoised,建筑装饰_denoised,0.36542113721849395
计算机_denoised,建筑装饰_denoised,0.36523824506902186
钢铁_denoised,传媒_denoised,0.3648598036000044
计算机_denoised,有色金属_denoised,0.3642926059613948
计算机_denoised,公用事业_denoised,0.3638099266519548
机械设备_denoised,房地产_denoised,0.3621584403937505
石油石化_denoised,交通运输_denoised,0.36122290113632743
公用事业_denoised,电子_denoised,0.36075751332050426
