date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20160504,256,260,262.39,255.99,2.86,251.744,247.326,247.023,4.137,3.445,1.384,79.5142,73.0291,92.4845,61.207,24.032,32.955,2.217,3.778,3.662,50,51.389,201.5711,5.9405,249.9874
20160505,257.8,256.5,258.15,255.5,1.35,254.344,249.297,247.033,4.533,3.663,1.741,79.3946,75.1509,87.8819,62.088,19.054,24.286,1.997,4.012,4.223,58.333,54.167,134.446,5.4725,251.3937
20160506,252.44,257.31,258.52,251.12,2.72,255.528,250.481,246.955,4.365,3.803,1.123,69.158,73.1533,61.1675,57.995,45.186,54.105,-0.625,1.534,1.974,58.333,55.556,75.7033,5.5935,251.255
20160509,250.9,250.13,252.8,249.01,2.78,255.428,250.832,247.007,4.06,3.855,0.411,59.6862,68.6643,41.7302,56.872,59.257,76.6,-1.514,0.484,1.251,58.333,56.944,31.3058,5.3985,251.2924
20160510,252.23,249.5,254,249.11,3.35,253.874,251.605,247.432,3.881,3.86,0.042,55.2053,64.1779,37.26,57.612,52.398,75.934,-1.046,0.626,1.674,58.333,56.944,35.3547,5.059,251.2113
20160511,256.9,252.35,260.48,252.35,4.93,254.054,252.899,248.027,4.069,3.902,0.335,60.1858,62.8472,54.8629,60.12,29.048,41.031,0.991,2.166,3.569,58.333,56.944,84.9188,5.3265,251.8007
20160512,255.94,254.02,256.56,252,1.89,253.682,254.013,248.709,4.093,3.94,0.307,59.1239,61.6061,54.1594,59.366,35.073,39.582,0.618,1.4,3.148,58.333,58.333,53.4646,5.225,252.627
20160513,251.3,255.98,258.9,250.5,2.81,253.454,254.491,249.131,3.696,3.891,-0.391,45.1209,56.111,23.1407,55.837,73.933,80.035,-0.784,-0.679,1.254,58.333,58.333,28.1235,5.4535,252.5371
20160516,251.7,250.86,251.8,247.3,2.22,253.614,254.521,249.4685,3.374,3.788,-0.828,39.8001,50.6741,18.0521,56.072,70.842,66.616,-0.577,-0.747,1.28,58.333,58.333,-32.9372,5.4895,252.3011
20160517,250,251.01,252.4,249.83,1.18,253.168,253.521,249.7835,2.948,3.62,-1.344,33.3619,44.9033,10.2791,54.78,82.107,79.514,-1.19,-1.53,0.511,50,56.944,-36.4292,5.443,251.9198
20160518,244.41,249.08,251.85,243.1,2.84,250.67,252.362,249.844,2.134,3.323,-2.377,24.7537,38.1868,-2.1124,50.765,92.463,92.463,-2.9,-3.51,-1.771,41.667,54.167,-128.4826,5.6935,250.8893
20160519,245.97,245.16,248.5,244.5,2.09,248.676,251.179,250.238,1.597,2.978,-2.761,22.0069,32.7935,0.4337,51.794,83.487,81.835,-1.567,-2.444,-1.195,41.667,51.389,-133.6493,5.468,249.7626
20160520,251.41,246.84,252.18,244.32,2.55,248.698,251.076,250.7785,1.592,2.7,-2.217,30.6091,32.0654,27.6966,55.2,52.186,47.405,0.915,-0.135,0.881,50,50,-68.546,5.6505,249.7309
20160523,254.28,249.72,254.99,249.72,1.87,249.214,251.414,251.123,1.799,2.52,-1.442,41.8484,35.3264,54.8923,56.877,35.673,5.971,1.863,1.123,1.852,50,48.611,14.3014,5.5385,250.6903
20160524,252,254.41,255.21,250.1,1.17,249.614,251.391,251.498,1.759,2.368,-1.219,46.6753,39.1093,61.8071,55.165,48.792,26.507,0.93,0.231,0.791,50,47.222,12.5714,5.554,251.2899
20160525,251.88,254.48,254.94,251.01,1.78,251.108,250.889,251.894,1.697,2.234,-1.073,49.6401,42.6196,63.681,55.074,44.43,27.498,0.755,0.15,0.512,50,47.222,28.9696,5.5565,251.5268
20160526,252.68,251.99,253.8,249.2,1.81,252.45,250.563,252.288,1.694,2.126,-0.864,59.4628,48.234,81.9203,55.584,39.367,23.232,0.521,0.454,0.629,50,48.611,13.0443,5.687,251.846
20160527,253.5,252.72,254.69,251.38,1.32,252.868,250.783,252.637,1.737,2.048,-0.622,68.2683,54.9121,94.9808,56.117,14.121,15.702,0.346,0.893,0.853,50,50,47.8267,5.7155,252.3011
20160530,256.18,251.5,256.5,250,2.98,253.248,251.231,252.876,1.965,2.031,-0.133,78.0495,62.6246,108.8994,57.842,2.388,4.384,1.089,1.952,1.723,58.333,51.389,70.3697,5.745,252.923
20160531,265,256,266.62,255.2,5.39,255.848,252.731,253.126,2.825,2.19,1.27,82.9448,69.398,110.0385,62.855,6.888,9.3,3.837,4.985,4.86,66.667,54.167,255.5708,5.7295,254.7442
20160601,263.71,265.4,265.5,263,2.19,258.214,254.661,253.5115,3.364,2.425,1.877,84.2801,74.3587,104.1229,61.735,13.049,16.705,2.548,4.061,4.025,58.333,55.556,226.7088,5.5345,256.4295
20160602,267.06,263.01,268.68,263.01,2.48,261.09,256.77,253.9745,4.014,2.743,2.543,86.748,78.4885,103.2671,63.498,6.65,8.316,2.839,4.795,4.992,66.667,58.333,183.6456,5.6855,258.4399
20160603,284,267,286.74,266.4,6.48,267.19,260.029,255.5525,5.83,3.36,4.939,88.7324,81.9031,102.3909,70.637,7.299,7.458,7.207,10.018,11.059,75,62.5,224.348,6.3325,262.5475
20160606,276.06,282,283,275,3.73,271.166,262.207,256.8105,6.552,3.999,5.108,83.005,82.2704,84.4743,64.47,28.45,29.069,2.751,5.913,7.672,66.667,65.278,155.5165,6.593,265.458
20160607,277.91,276.5,278.49,275.01,1.88,273.748,264.798,258.0945,7.191,4.637,5.109,80.8295,81.7901,78.9083,65.209,23.522,27.996,2.064,5.727,8.009,66.667,66.667,119.6632,6.5225,268.1407
20160608,274.18,276.4,277.86,273.5,2.39,275.842,267.028,258.9585,7.313,5.172,4.281,75.8243,79.8015,67.8698,62.477,33.458,52.906,0.131,3.655,6.277,58.333,65.278,90.5935,6.3305,268.3355
20160613,267.2,273.35,276.66,266.25,3.78,275.87,268.48,259.5215,6.767,5.491,2.552,66.1547,75.2526,47.9589,57.752,53.185,82.343,-2.624,0.534,3.326,58.333,65.278,46.7012,6.606,268.2
